Ticker,Name,Exchange,Category
TRIGYN.NS,Trigyn Technologies Limited,NSI,Technical & System Software
TRICOM.BO,Tricom India Limited,BSE,
TRENT.NS,Trent Limited,NSI,Apparel Stores
TIDEWATER.NS,"Tide Water Oil Co. (India), Ltd.",NSI,Oil & Gas Refining & Marketing
TECHM.NS,Tech Mahindra Limited,NSI,Information Technology Services
TATAMOTORS.NS,Tata Motors Limited,NSI,Auto Manufacturers - Major
TATACHEM.NS,Tata Chemicals Limited,NSI,Chemicals - Major Diversified
TATACHEM.BO,Tata Chemicals Limited,BSE,
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,NSI,Drugs - Generic
SUJANAUNI.NS,Sujana Universal Industries Limited,NSI,Steel & Iron
SUDIN.BO,Sudev Industries Ltd.,BSE,
SUBROS.NS,Subros,NSI,Auto Parts
STURDY.BO,Sturdy Industries Ltd,BSE,
SPICEISL.BO,Spice Islands Apparels Ltd.,BSE,
SOUTHBANK.NS,The South Indian Bank Limited,NSI,Money Center Banks
SOFTSOL.BO,Softsol India Ltd.,BSE,
SKYIND.BO,Sky Industries Limited,BSE,
SKRABUL.BO,Shukra Bullions Ltd.,BSE,
SKFINDIA.NS,SKF India Limited,NSI,Diversified Machinery
SIMPLEX.BO,Simplex Projects Ltd.,BSE,
SIEMENS.NS,Siemens Limited,NSI,Diversified Machinery
SHUKUN.BO,SHUKUN CONSTRUCTION LTD.,BSE,
SHREECEM.BO,Shree Cement Limited,BSE,
RMCL.BO,Radha Madhav Corp. Ltd.,BSE,
MUTHTFN.BO,Muthoot Capital Services Ltd.,BSE,
MURLIIND.NS,Murli Industries Ltd.,NSI,
MPHASIS6.BO,MPHASIS6.BO,BSE,
MOSCHIP.BO,MosChip Semiconductor Technology Limited,BSE,
MINDTREE.NS,Mindtree Limited,NSI,Information Technology Services
MINDAIND.NS,Minda Industries Limited,NSI,
MEGASOFT.NS,Megasoft Limited,NSI,Technical & System Software
