TICKER,NAME,SERIES,SYMBOL,SLUG
CINEVISTA.NS,Cinevista Limited,EQ,CINEVISTA,cinevista
CIPLA.NS,Cipla Limited,EQ,CIPLA,cipla
CLEAN.NS,Clean Science and Technology Limited,EQ,CLEAN,clean
CLEDUCATE.NS,CL Educate Limited,EQ,CLEDUCATE,cleducate
CLSEL.NS,Chaman Lal Setia Exports Limited,EQ,CLSEL,clsel
CMICABLES.NS,CMI Limited,BE,CMICABLES,cmicables
CMSINFO.NS,CMS Info Systems Limited,EQ,CMSINFO,cmsinfo
COALINDIA.NS,Coal India Limited,EQ,COALINDIA,coalindia
COASTCORP.NS,Coastal Corporation Limited,EQ,COASTCORP,coastcorp
COCHINSHIP.NS,Cochin Shipyard Limited,EQ,COCHINSHIP,cochinship
COFFEEDAY.NS,Coffee Day Enterprises Limited,EQ,COFFEEDAY,coffeeday
COFORGE.NS,Coforge Limited,EQ,COFORGE,coforge
COLPAL.NS,Colgate Palmolive (India) Limited,EQ,COLPAL,colpal
COMPINFO.NS,Compuage Infocom Limited,EQ,COMPINFO,compinfo
COMPUSOFT.NS,Compucom Software Limited,EQ,COMPUSOFT,compusoft
CONCOR.NS,Container Corporation of India Limited,EQ,CONCOR,concor
CONFIPET.NS,Confidence Petroleum India Limited,EQ,CONFIPET,confipet
CONSOFINVT.NS,Consolidated Finvest & Holdings Limited,EQ,CONSOFINVT,consofinvt
CONTROLPR.NS,Control Print Limited,EQ,CONTROLPR,controlpr
CORALFINAC.NS,Coral India Finance & Housing Limited,EQ,CORALFINAC,coralfinac
CORDSCABLE.NS,Cords Cable Industries Limited,EQ,CORDSCABLE,cordscable
